item,itemLabel,position,positionLabel,start,psid
Q104828519,Theyazin bin Haitham,Q108798192,"Minister of Culture, Sports and Youth",2020-08-18,Q104828519-A600862B-77EE-4154-9E77-059281604C4F
Q108864704,Sultan bin Salem bin Saeed al-Habsi,Q108864705,Minister of Finance of Oman,2020-08,Q108864704-EE3238D7-E0E5-49E7-9126-EAD175895745
Q109423015,Laila bint Ahmed bin Awad al Najjar,Q114586810,Minister of Social Affairs and Labour,2020,Q109423015-5EFF7C4E-08E6-43CC-A5DA-5FDD1195A7A1
Q114586514,Rahma bint Ibrahim Al Mahrooqi,Q108864680,Minister of Higher Education of Oman,2020-08-16,Q114586514-bc238a6d-44dd-4e01-6d01-ac11fb3bc45e
Q114586610,Qais Mohammed Al Yousef,Q108864795,Minister of Commerce and Industry,2020-08-18,Q114586610-b05a1b64-4e44-0728-5e62-1a5c65bcac4a
Q114587553,Saud bin Hmood bin Ahmed Al Habsi,Q114586728,Minister of Agriculture and Fisheries Wealth,2020,Q114587553-AD539D51-075B-472C-B9A5-84363CC99058
Q114587554,Abdullah Nasser bin Khalifa al-Harrasi,Q114587349,Minister of Information,2020,Q114587554-AA9BC0C6-70F9-43B7-84C0-B6441E3A757F
Q114587555,Hilal Bin Ali bin Hilal Al Sabti,Q114586745,Minister of Health,2022,Q114587555-70386CB2-E6A6-48F6-A175-BE9BA9D7D96C
Q114587556,Khalfan bin Saeed bin Mubarak al-Shueili,Q114586787,Minister of Housing,2020,Q114587556-EDA05830-62F8-46E9-BF85-5C56A85A55DC
Q114587557,Mohammed bin Said bin Khalfan Al Mamari,Q114586780,Minister of Endowments and Religious Affairs,2022,Q114587557-E185D443-AD5C-41C8-AFC1-A6D623A88023
Q114587558,Saeed bin Muhammad bin Ahmed al Saqri,Q114587348,Minister of Economy,2020,Q114587558-493BA22E-B20D-47A8-940F-1FD74DEA5332
Q114587559,Saeed bin Hamoud bin Saeed al Maawali,Q114587172,Minister of Transport and Communications,2020,Q114587559-DF5EBB40-DD77-4388-92F1-39F6D2C88BB9
Q114587560,Salim bin Nasir bin Said Al Aufi,Q114587220,Minister of Energy and Minerals,2022,Q114587560-F0DFB9B6-94C9-4F13-9BC4-F30F65CAA312
Q114587561,Mahad bin Said bin Ali Baawain,Q114586691,Minister of Labour of Oman,2020,Q114587561-E2D11464-3CDA-415A-80AD-1B7672EFECE1
Q114587562,Salem bin Mohammed Al Mahrooqi,Q108864733,Minister of Heritage and Culture,2020,Q114587562-4B4DB0E6-8C3F-46B8-A802-E345EEB9C18D
Q43287478,Madeeha bint Ahmed bin Nassir al Shibaniyah,Q108864766,Minister of Education of Oman,2011,Q43287478-A43D0F7B-E41F-4309-995C-FA96ABFB1315
Q4665951,Abdullah Al Saidi,Q114586794,Minister of Justice,2011,Q4665951-298A7DC1-C552-4487-B0C8-60B9FA461CB9
Q5429529,Fahd bin Mahmoud al Said,Q108798170,Deputy Prime Minister of Oman,1972-06-23,Q5429529-5D8F276F-830C-4224-9CA4-73BE45E181AF
Q59306348,Sayyid Khalid bin Hilal al Busaidi,Q114587351,Minister of the Diwan of Royal Court,2011,Q59306348-3356314A-587F-4FCD-9AE2-0FF031F02156
Q59660242,Asa'ad bin Tariq bin Taimur al Said,Q108798170,Deputy Prime Minister of Oman,2017-03-03,Q59660242-D14CBCA8-FFC5-450B-8823-66B5DA552F44
Q59660254,Sultan bin Mohammed al Nu'amani,Q114587197,Minister of the Royal Office,2011,Q59660254-4A363B1D-1BAE-4558-A839-DA64B62D08C2
Q59660255,Sayyid Hamoud bin Faisal al Busaidi,Q108864685,Minister of the Interior of Oman,2011,Q59660255-05027B11-1DF4-4F74-89DB-C7D3210849CE
Q81686943,Shihab bin Tariq al-Said,Q108864540,Minister of Defence of Oman,2020-03-09,Q81686943-114c6af0-4492-eae0-bb2b-5ae6453e1837
Q98456849,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Q108730677,Minister of Foreign Affairs of Oman,2020-08-18,Q98456849-4D087C17-4A7E-4320-9DE1-75A7C7B76B2B
