item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q101482821,Shakour bint Mohammed al-Ghamari,,,,,,false,,,,
Q104602826,Lujaina Mohsin Darwish,,,,,,false,,,,
Q104828519,Theyazin bin Haitham,NormalRank,Q3826,Muscat,true,true,false,,,,
Q106854887,Sayyid Saud bin Hilal bin Hamad al-Busaidi,,,,,,false,,,,
Q108864704,Sultan bin Salem bin Saeed al-Habsi,,,,,,false,,,,
Q108864719,Darwish bin Ismail al-Balushi,,,,,,false,,,,
Q109423015,Laila bint Ahmed bin Awad al Najjar,,,,,,false,,,,
Q114586514,Rahma bint Ibrahim Al Mahrooqi,,,,,,false,,,,
Q114586610,Qais Mohammed Al Yousef,,,,,,false,,,,
Q114587553,Saud bin Hmood bin Ahmed Al Habsi,,,,,,false,,,,
Q114587554,Abdullah Nasser bin Khalifa al-Harrasi,,,,,,false,,,,
Q114587555,Hilal Bin Ali bin Hilal Al Sabti,,,,,,false,,,,
Q114587556,Khalfan bin Saeed bin Mubarak al-Shueili,,,,,,false,,,,
Q114587557,Mohammed bin Said bin Khalfan Al Mamari,,,,,,false,,,,
Q114587558,Saeed bin Muhammad bin Ahmed al Saqri,,,,,,false,,,,
Q114587559,Saeed bin Hamoud bin Saeed al Maawali,,,,,,false,,,,
Q114587560,Salim bin Nasir bin Said Al Aufi,,,,,,false,,,,
Q114587561,Mahad bin Said bin Ali Baawain,,,,,,false,,,,
Q114587562,Salem bin Mohammed Al Mahrooqi,,,,,,false,,,,
Q114590755,Abdullah bin Ali al-Qatabi,,,,,,false,,,,
Q114590756,Ahmad al-Isa'i,,,,,,false,,,,
Q12209969,Khalid Al Ma'awali,,,,,,false,,,,
Q12250314,Haitham bin Tarik Al Said,NormalRank,Q3826,Muscat,true,true,true,true,true,false,false
Q23940101,Hilal Al Sarmi,,,,,,false,,,,
Q28701101,Rahila Al Riyami,,,,,,false,,,,
Q43287478,Madeeha bint Ahmed bin Nassir al Shibaniyah,,,,,,false,,,,
Q4665951,Abdullah Al Saidi,,,,,,false,,,,
Q5429529,Fahd bin Mahmoud al Said,NormalRank,Q157734,Muscat and Oman,false,false,false,,,,
Q59268429,Ali bin Masoud al Sunaidy,NormalRank,Q3826,Muscat,true,true,true,false,false,true,true
Q59306348,Sayyid Khalid bin Hilal al Busaidi,NormalRank,Q3826,Muscat,true,true,true,false,false,true,true
Q59660242,Asa'ad bin Tariq bin Taimur al Said,NormalRank,Q3826,Muscat,true,true,false,,,,
Q59660254,Sultan bin Mohammed al Nu'amani,,,,,,false,,,,
Q59660255,Sayyid Hamoud bin Faisal al Busaidi,,,,,,false,,,,
Q59660260,Khalid bin Omar bin Said al Marhoon,,,,,,false,,,,
Q7297086,Rawya Saud Al Busaidi,,,,,,false,,,,
Q7429365,Sayyid Badr bin Saud al Busaidi,,,,,,false,,,,
Q81686943,Shihab bin Tariq al-Said,,,,,,false,,,,
Q91936078,Abdul Aziz Al Hinai,,,,,,false,,,,
Q98456849,Sayyid Badr bin Hamad bin Hamood AlBusaidi,NormalRank,Q3826,Muscat,true,true,true,false,false,true,true
Q98456849,Sayyid Badr bin Hamad bin Hamood AlBusaidi,NormalRank,Q3826,Muscat,true,true,true,false,true,false,false
Q57331,Qaboos bin Said Al Said,NormalRank,Q1294439,Salalah,true,true,true,false,false,false,true
Q58267,Yusuf bin Alawi bin Abdullah,NormalRank,Q1294439,Salalah,true,true,false,,,,
